file,line,type,commit,author,date,time,timezone,datetime,depth,length
static/style.css,1,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,6
static/style.css,2,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,75
static/style.css,3,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,55
static/style.css,4,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,58
static/style.css,5,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,18
static/style.css,6,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,19
static/style.css,7,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,25
static/style.css,8,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
static/style.css,9,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
static/style.css,10,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,14
static/style.css,11,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,18
static/style.css,12,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,9
static/style.css,13,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,11
static/style.css,14,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,20
static/style.css,15,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,19
static/style.css,16,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,8
static/style.css,17,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
static/style.css,18,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
static/style.css,19,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,21
static/style.css,20,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,14
static/style.css,21,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
static/style.css,22,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
static/style.css,23,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
static/style.css,24,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,50
static/style.css,25,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
static/style.css,26,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,1
static/style.css,27,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,109
static/style.css,28,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,1
static/style.css,29,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,5
static/style.css,30,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,93
static/style.css,31,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,69
static/style.css,32,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,27
static/style.css,33,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,19
static/style.css,34,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,37
static/style.css,35,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,13
static/style.css,36,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
static/style.css,37,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,27
static/style.css,38,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,6
static/style.css,39,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,44
static/style.css,40,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,38
static/style.css,41,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,40
static/style.css,42,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,18
static/style.css,43,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
static/style.css,44,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
static/style.css,45,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,12
static/style.css,46,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,64
static/style.css,47,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,76
static/style.css,48,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,36
static/style.css,49,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
static/style.css,50,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
static/style.css,51,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,25
static/style.css,52,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,4
static/style.css,53,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,13
static/style.css,54,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,53
static/style.css,55,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,9
static/style.css,56,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,40
static/style.css,57,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
static/style.css,58,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,13
static/style.css,59,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,24
static/style.css,60,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,5
static/style.css,61,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,60
static/style.css,62,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,39
static/style.css,63,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,13
static/style.css,64,css,5aa5505,aafrey,2025-03-04,22:51:29,-05:00,2025-03-04T22:51:29-05:00,0,0
